name,poll-type,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01
solr,popularity,76.24,81.48,81.88,82,82.93,81.24,79.29,81.9,81.94,79.07,79.77,79.15
elasticsearch,popularity,49.04,52.84,58.92,64.66,64.84,70.09,70.16,69.64,71.55,70.23,74.77,76.57
